EMBEDDING_MODEL,SIMILARITY_METRIC,DATASET,d1 ids without match,top_1_recall,top_1_precision,top_2_recall,top_2_precision,top_3_recall,top_3_precision,top_4_recall,top_4_precision,top_5_recall,top_5_precision,use_task,EMBEDDINGS_GENERATION_TIME
sentence-transformers/all-MiniLM-L12-v2,cosine,D4,298,0.9787714543812105,0.9800995024875622,0.993676603432701,0.5329457364341085,0.993676603432701,0.3813485872768244,0.9941282746160794,0.308349677780891,0.994579945799458,0.26749271137026237,False,26.28 minutes
sentence-transformers/all-MiniLM-L12-v2,euclidian,D4,298,0.978319783197832,0.9796472184531886,0.993676603432701,0.5329457364341085,0.993676603432701,0.3813485872768244,0.9941282746160794,0.308349677780891,0.994579945799458,0.26749271137026237,False,26.28 minutes
BAAI/bge-m3,cosine,D4,298,0.9846431797651309,0.9859791949344188,0.993676603432701,0.5329457364341085,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,23.21 minutes
BAAI/bge-m3,euclidian,D4,298,0.9846431797651309,0.9859791949344188,0.993676603432701,0.5329457364341085,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,23.21 minutes
dunzhang/stella_en_1.5B_v5,cosine,D4,298,0.9887082204155375,0.9900497512437811,0.9941282746160794,0.533187984496124,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,40.64 minutes
dunzhang/stella_en_1.5B_v5,euclidian,D4,298,0.980126467931346,0.9814563545906829,0.991869918699187,0.5319767441860465,0.992773261065944,0.3810019067429364,0.993676603432701,0.30820958251611097,0.9941282746160794,0.2673712342079689,False,40.64 minutes
BAAI/bge-en-icl,cosine,D4,298,0.987353206865402,0.9886928991406604,0.9941282746160794,0.533187984496124,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,9.28 hours
BAAI/bge-en-icl,euclidian,D4,298,0.987353206865402,0.9886928991406604,0.9941282746160794,0.533187984496124,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,9.28 hours
Salesforce/SFR-Embedding-Mistral,cosine,D4,298,0.9887082204155375,0.9900497512437811,0.9941282746160794,0.533187984496124,0.994579945799458,0.38169526781071245,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,4.38 hours
Salesforce/SFR-Embedding-Mistral,euclidian,D4,298,0.9887082204155375,0.9900497512437811,0.9941282746160794,0.533187984496124,0.994579945799458,0.38169526781071245,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,4.38 hours
llmrails/ember-v1,cosine,D4,298,0.9769647696476965,0.9782903663500678,0.992773261065944,0.5324612403100775,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,26.84 minutes
llmrails/ember-v1,euclidian,D4,298,0.9774164408310749,0.9787426503844414,0.993676603432701,0.5329457364341085,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,26.84 minutes
Alibaba-NLP/gte-Qwen2-7B-instruct,cosine,D4,298,0.9841915085817525,0.9855269109000452,0.9941282746160794,0.533187984496124,0.9941282746160794,0.3815219275437684,0.994579945799458,0.30848977304567105,0.994579945799458,0.26749271137026237,False,4.50 hours
